row_id+O6G3A1:R6,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,address_city,address_state,region,product_id,category,sub_category,product_name,price,quantity,sales,cost,profit,returns,payment_mode,year,month,day_name
1028,CA-2019-126529,2019-11-01,13-01-2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,East,TEC-PH-10000148,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,7.794,2,15.588,25.4604,-9.8724,False,Online,2019,11,Friday
8522,CA-2019-141887,2019-11-01,15-01-2019,Standard Class,MP-17470,Mark Packer,Home Office,United States,Columbus,Ohio,East,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,3.928,14,54.992,46.0558,8.9362,False,Online,2019,11,Friday
7269,CA-2019-133368,2019-01-14,20-01-2019,Standard Class,AG-10675,Anna Gayman,Consumer,United States,Concord,North Carolina,South,OFF-PA-10004039,Office Supplies,Paper,Xerox 1882,44.784,2,89.568,57.0996,32.4684,False,Cards,2019,1,Monday
7270,CA-2019-133368,2019-01-14,20-01-2019,Standard Class,AG-10675,Anna Gayman,Consumer,United States,Concord,North Carolina,South,FUR-FU-10003374,Furniture,Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,39.472,8,315.776,284.1984,31.5776,False,Online,2019,1,Monday
2878,CA-2019-152072,2019-01-15,19-01-2019,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey,East,OFF-EN-10003040,Office Supplies,Envelopes,Quality Park Security Envelopes,26.17,2,52.34,27.740200000000005,24.5998,False,Cards,2019,1,Tuesday
2879,CA-2019-152072,2019-01-15,19-01-2019,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey,East,OFF-AR-10001573,Office Supplies,Art,American Pencil,2.33,2,4.66,3.3086,1.3514,False,COD,2019,1,Tuesday
2880,CA-2019-152072,2019-01-15,19-01-2019,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey,East,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,84.99,3,254.97,163.1808,91.7892,False,Cards,2019,1,Tuesday
3236,CA-2019-140746,2019-01-15,15-01-2019,Same Day,RC-19825,Roy Collins,Consumer,United States,Fairfield,Connecticut,East,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",181.797,1,181.797,197.3796,-15.5826,False,COD,2019,1,Tuesday
3742,CA-2019-137848,2019-01-15,21-01-2019,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,East,OFF-EN-10001137,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",4.13,4,16.52,8.9208,7.5992,False,Online,2019,1,Tuesday
3743,CA-2019-137848,2019-01-15,21-01-2019,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,East,OFF-PA-10004285,Office Supplies,Paper,Xerox 1959,6.68,9,60.12,31.2624,28.8576,False,COD,2019,1,Tuesday
3744,CA-2019-137848,2019-01-15,21-01-2019,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,East,OFF-BI-10002225,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",16.512,3,49.536,32.19840000000001,17.3376,False,Cards,2019,1,Tuesday
5968,CA-2019-166912,2019-01-15,17-01-2019,First Class,BE-11335,Bill Eplett,Home Office,United States,New York City,New York,East,OFF-PA-10001033,Office Supplies,Paper,Xerox 1893,40.99,2,81.98,41.8098,40.1702,False,Online,2019,1,Tuesday
26,CA-2019-121755,2019-01-16,20-01-2019,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,5.824,2,11.648,7.425599999999999,4.2224,False,Cards,2019,1,Wednesday
27,CA-2019-121755,2019-01-16,20-01-2019,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,30.19,3,90.57,78.79589999999999,11.7741,False,COD,2019,1,Wednesday
876,CA-2019-116736,2019-01-17,21-01-2019,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire,East,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",107.53,3,322.59,258.072,64.518,False,COD,2019,1,Thursday
877,CA-2019-116736,2019-01-17,21-01-2019,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire,East,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,29.99,1,29.99,16.794399999999996,13.1956,False,Online,2019,1,Thursday
878,CA-2019-116736,2019-01-17,21-01-2019,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire,East,TEC-AC-10002049,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,123.99,3,371.97,305.0154,66.9546,False,Online,2019,1,Thursday
2303,CA-2019-106558,2019-01-17,21-01-2019,Standard Class,DL-13495,Dionis Lloyd,Corporate,United States,Columbus,Georgia,South,TEC-AC-10001142,Technology,Accessories,First Data FD10 PIN Pad,79.0,4,316.0,284.4,31.6,False,Online,2019,1,Thursday
2876,US-2019-167339,2019-01-21,23-01-2019,Second Class,TD-20995,Tamara Dahlen,Consumer,United States,San Diego,California,West,FUR-CH-10004289,Furniture,Chairs,Global Super Steno Chair,76.784,2,153.568,159.32680000000002,-5.7588,False,COD,2019,1,Monday
2877,US-2019-167339,2019-01-21,23-01-2019,Second Class,TD-20995,Tamara Dahlen,Consumer,United States,San Diego,California,West,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,144.78400000000002,7,1013.488,937.4764,76.0116,False,COD,2019,1,Monday
268,CA-2019-111010,2019-01-22,28-01-2019,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Morristown,New Jersey,East,OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands,1.26,6,7.56,7.2576,0.3024,False,COD,2019,1,Tuesday
2471,US-2019-135923,2019-01-22,28-01-2019,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,South,FUR-FU-10002107,Furniture,Furnishings,Eldon Pizzaz Desk Accessories,1.784,8,14.272,9.9904,4.2816,False,COD,2019,1,Tuesday
2472,US-2019-135923,2019-01-22,28-01-2019,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,South,FUR-BO-10002213,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",112.784,4,451.136,518.8064,-67.6704,False,COD,2019,1,Tuesday
2473,US-2019-135923,2019-01-22,28-01-2019,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,South,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,16.216,4,64.864,58.3776,6.4864,False,COD,2019,1,Tuesday
2694,CA-2019-138079,2019-01-22,28-01-2019,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,Seattle,Washington,West,FUR-FU-10001475,Furniture,Furnishings,"Contract Clock, 14"", Brown",21.98,5,109.9,72.534,37.366,False,Online,2019,1,Tuesday
5675,CA-2019-146318,2019-01-22,27-01-2019,Standard Class,MC-17275,Marc Crier,Consumer,United States,Seattle,Washington,West,OFF-PA-10003953,Office Supplies,Paper,Xerox 218,6.48,2,12.96,6.739200000000001,6.2208,False,Online,2019,1,Tuesday
5752,CA-2019-125850,2019-01-22,28-01-2019,Standard Class,FP-14320,Frank Preis,Consumer,United States,San Diego,California,West,OFF-LA-10003498,Office Supplies,Labels,Avery 475,14.8,3,44.4,22.2,22.2,False,Online,2019,1,Tuesday
5753,CA-2019-125850,2019-01-22,28-01-2019,Standard Class,FP-14320,Frank Preis,Consumer,United States,San Diego,California,West,OFF-LA-10004484,Office Supplies,Labels,Avery 476,4.13,5,20.65,11.150999999999998,9.499,False,Online,2019,1,Tuesday
6229,CA-2019-148208,2019-01-22,27-01-2019,Standard Class,BT-11530,Bradley Talbott,Home Office,United States,Cleveland,Ohio,East,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,27.594,4,110.376,130.6116,-20.2356,False,Online,2019,1,Tuesday
6230,CA-2019-148208,2019-01-22,27-01-2019,Standard Class,BT-11530,Bradley Talbott,Home Office,United States,Cleveland,Ohio,East,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",18.392,3,55.176,39.3129,15.8631,False,Cards,2019,1,Tuesday
6238,US-2019-155180,2019-01-22,29-01-2019,Standard Class,TB-21280,Toby Braunhardt,Consumer,United States,New York City,New York,East,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,6.584,4,26.336,17.1184,9.2176,False,Online,2019,1,Tuesday
7294,CA-2019-113656,2019-01-23,29-01-2019,Standard Class,CB-12415,Christy Brittain,Consumer,United States,Los Angeles,California,West,FUR-FU-10000719,Furniture,Furnishings,"DAX Cubicle Frames, 8-1/2 x 11",8.57,7,59.99,38.393600000000006,21.5964,False,Online,2019,1,Wednesday
9147,US-2019-165505,2019-01-23,27-01-2019,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont,East,TEC-AC-10002926,Technology,Accessories,Logitech Wireless Marathon Mouse M705,49.99,2,99.98,56.988600000000005,42.9914,False,COD,2019,1,Wednesday
9148,US-2019-165505,2019-01-23,27-01-2019,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont,East,OFF-AR-10003477,Office Supplies,Art,4009 Highlighters,1.34,6,8.04,5.306399999999999,2.7336,False,COD,2019,1,Wednesday
9149,US-2019-165505,2019-01-23,27-01-2019,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont,East,OFF-ST-10001526,Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart,120.33,13,1564.29,1157.5746,406.7154,False,Online,2019,1,Wednesday
4612,CA-2019-109407,2019-01-24,26-01-2019,Second Class,HG-14965,Henry Goldwyn,Corporate,United States,Gulfport,Mississippi,South,OFF-BI-10000285,Office Supplies,Binders,XtraLife ClearVue Slant-D Ring Binders by Cardinal,7.84,4,31.36,15.68,15.68,False,COD,2019,1,Thursday
4327,CA-2019-153346,2019-01-25,27-01-2019,First Class,TB-21355,Todd Boyes,Corporate,United States,Plainfield,New Jersey,East,OFF-AR-10000315,Office Supplies,Art,"Dixon Ticonderoga Maple Cedar Pencil, #2",3.0700000000000003,3,9.21,6.907500000000001,2.3025,False,COD,2019,1,Friday
4328,CA-2019-153346,2019-01-25,27-01-2019,First Class,TB-21355,Todd Boyes,Corporate,United States,Plainfield,New Jersey,East,OFF-PA-10000007,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",3.6,5,18.0,9.72,8.28,False,Cards,2019,1,Friday
9358,CA-2019-168046,2019-01-25,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",8.623999999999999,5,43.12,28.028,15.092,False,Online,2019,1,Friday
9359,CA-2019-168046,2019-01-25,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,104.574,3,313.722,413.0673,-99.3453,False,COD,2019,1,Friday
9360,CA-2019-168046,2019-01-25,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,FUR-FU-10000747,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,45.98,1,45.98,38.1634,7.8166,False,Online,2019,1,Friday
9361,CA-2019-168046,2019-01-25,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",61.24,7,428.68,428.68,0.0,False,Online,2019,1,Friday
8613,CA-2019-146437,2019-01-28,01-02-2019,Second Class,HG-14965,Henry Goldwyn,Corporate,United States,Los Angeles,California,West,OFF-AR-10000588,Office Supplies,Art,Newell 345,19.84,2,39.68,29.3632,10.3168,False,COD,2019,1,Monday
2885,CA-2019-164483,2019-01-30,03-02-2019,Standard Class,JF-15490,Jeremy Farry,Consumer,United States,San Francisco,California,West,OFF-BI-10000014,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,8.728,2,17.456,11.5646,5.8914,False,COD,2019,1,Wednesday
7290,CA-2019-153661,2019-01-30,31-01-2019,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,West,OFF-ST-10000675,Office Supplies,Storage,"File Shuttle II and Handi-File, Black",33.89,9,305.01,228.7575,76.2525,False,Online,2019,1,Wednesday
7291,CA-2019-153661,2019-01-30,31-01-2019,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,West,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,25.392,2,50.784,33.0096,17.7744,False,Online,2019,1,Wednesday
7292,CA-2019-153661,2019-01-30,31-01-2019,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,West,OFF-LA-10004689,Office Supplies,Labels,Avery 512,2.89,9,26.01,13.7853,12.2247,False,Online,2019,1,Wednesday
7565,US-2019-166660,2019-01-30,01-02-2019,Second Class,TB-21250,Tim Brockman,Consumer,United States,Seattle,Washington,West,FUR-CH-10001190,Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,108.792,4,435.168,495.0036,-59.8356,False,COD,2019,1,Wednesday
7566,US-2019-166660,2019-01-30,01-02-2019,Second Class,TB-21250,Tim Brockman,Consumer,United States,Seattle,Washington,West,FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,48.58,1,48.58,40.8072,7.7728,False,Online,2019,1,Wednesday
8176,CA-2019-114944,2019-01-30,04-02-2019,Standard Class,HE-14800,Harold Engle,Corporate,United States,Chicago,Illinois,Central,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,39.128,4,156.512,103.6892,52.8228,False,COD,2019,1,Wednesday
8925,CA-2019-168032,2019-01-30,03-02-2019,Standard Class,DF-13135,David Flashing,Consumer,United States,Rockford,Illinois,Central,TEC-PH-10004241,Technology,Phones,Nokia Lumia 1020,359.992,4,1439.968,1295.9712,143.9968,False,Online,2019,1,Wednesday
8926,CA-2019-168032,2019-01-30,03-02-2019,Standard Class,DF-13135,David Flashing,Consumer,United States,Rockford,Illinois,Central,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,0.576,3,1.728,4.4064,-2.6784,False,Cards,2019,1,Wednesday
8927,CA-2019-168032,2019-01-30,03-02-2019,Standard Class,DF-13135,David Flashing,Consumer,United States,Rockford,Illinois,Central,FUR-TA-10004256,Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,208.7,3,626.1,1164.546,-538.446,False,Online,2019,1,Wednesday
4999,CA-2019-129238,2019-01-31,04-02-2019,Standard Class,SC-20050,Sample Company A,Home Office,United States,Los Angeles,California,West,TEC-PH-10004120,Technology,Phones,AT&T 1080 Phone,109.592,1,109.592,101.3726,8.2194,False,Cards,2019,1,Thursday
5000,CA-2019-129238,2019-01-31,04-02-2019,Standard Class,SC-20050,Sample Company A,Home Office,United States,Los Angeles,California,West,OFF-PA-10002764,Office Supplies,Paper,Easy-staple paper,11.34,5,56.7,28.917,27.783,False,COD,2019,1,Thursday
5114,CA-2019-147970,2019-01-31,02-02-2019,Second Class,AB-10150,Aimee Bixby,Consumer,United States,Dallas,Texas,Central,OFF-PA-10003936,Office Supplies,Paper,Xerox 1994,5.184,3,15.552,10.1088,5.4432,False,Cards,2019,1,Thursday
7505,CA-2019-158043,2019-01-31,04-02-2019,Second Class,JK-15325,Jason Klamczynski,Corporate,United States,Atlantic City,New Jersey,East,OFF-EN-10003134,Office Supplies,Envelopes,Staple envelope,11.68,2,23.36,11.68,11.68,False,Cards,2019,1,Thursday
8761,CA-2019-159891,2019-01-31,06-02-2019,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Atlanta,Georgia,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1270.99,1,1270.99,635.495,635.495,False,Online,2019,1,Thursday
8762,CA-2019-159891,2019-01-31,06-02-2019,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Atlanta,Georgia,South,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",15.67,8,125.36,66.4408,58.9192,False,Cards,2019,1,Thursday
3242,US-2019-140809,2019-01-02,03-02-2019,First Class,CK-12760,Cyma Kinney,Corporate,United States,Arlington,Virginia,South,OFF-ST-10002214,Office Supplies,Storage,X-Rack File for Hanging Folders,11.29,5,56.45,41.773,14.677,False,COD,2019,1,Wednesday
8404,CA-2019-154067,2019-01-02,07-02-2019,Standard Class,SM-20950,Suzanne McNair,Corporate,United States,Los Angeles,California,West,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,276.38,4,1105.52,1056.9808,48.5392,False,Online,2019,1,Wednesday
5614,CA-2019-147431,2019-02-02,07-02-2019,Standard Class,AB-10105,Adrian Barton,Consumer,United States,New York City,New York,East,OFF-ST-10003994,Office Supplies,Storage,"Belkin 19"" Center-Weighted Shelf, Gray",58.98,2,117.96,112.062,5.898,False,COD,2019,2,Saturday
8489,CA-2019-158841,2019-02-02,04-02-2019,Second Class,SE-20110,Sanjit Engle,Consumer,United States,Arlington,Virginia,South,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",949.99,5,4749.95,1949.966,2799.984,False,COD,2019,2,Saturday
8490,CA-2019-158841,2019-02-02,04-02-2019,Second Class,SE-20110,Sanjit Engle,Consumer,United States,Arlington,Virginia,South,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,4.55,8,36.4,18.2,18.2,False,COD,2019,2,Saturday
8491,CA-2019-158841,2019-02-02,04-02-2019,Second Class,SE-20110,Sanjit Engle,Consumer,United States,Arlington,Virginia,South,FUR-FU-10001731,Furniture,Furnishings,Acrylic Self-Standing Desk Frames,2.6700000000000004,7,18.69,11.5878,7.1022,False,Online,2019,2,Saturday
